years,sex,Age,social status,Education level,Religion,Job,Charge,Number
"2,012",male,30,divorced,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,19,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,35,,Middle school,Muslim,Employee,theft,1
"2,012",male,47,married,science high school,Muslim,Employee,theft,1
"2,012",male,70,divorced,uneducated,Muslim,Employee,theft,1
"2,012",male,44,married,High school,Muslim,Employee,theft,1
"2,012",male,17,,Undefined,Muslim,Employee,theft,1
"2,012",male,44,married,Secondary literary,Muslim,Employee,theft,1
"2,012",female,39,married,Middle school,Muslim,Employee,theft,1
"2,012",male,40,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,17,married,University,Muslim,Employee,theft,1
"2,012",male,37,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,23,single,Undefined,Muslim,Employee,theft,1
"2,012",male,17,single,Undefined,Muslim,Employee,theft,1
"2,012",male,37,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,40,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,35,married,diploma,Muslim,Employee,theft,1
"2,012",male,70,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,36,married,science high school,Muslim,Employee,theft,1
"2,012",male,34,married,High school,Muslim,Employee,theft,1
"2,012",male,54,married,High school,Muslim,Employee,theft,1
"2,012",female,30,married,High school,Muslim,Employee,theft,1
"2,012",female,39,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,32,married,High school,Muslim,Employee,theft,1
"2,012",male,46,married,High school,Muslim,Employee,theft,1
"2,012",female,43,divorced,uneducated,Muslim,Employee,theft,1
"2,012",male,17,single,Undefined,Muslim,Employee,theft,1
"2,012",male,44,married,Undefined,Muslim,Employee,theft,1
"2,012",female,36,divorced,Undefined,Muslim,Employee,theft,1
"2,012",female,19,,Undefined,Muslim,Employee,theft,1
"2,012",male,18,single,Undefined,Muslim,Employee,theft,1
"2,012",male,41,married,Undefined,Muslim,Employee,theft,1
"2,012",female,48,ارمل,Undefined,Muslim,Employee,theft,1
"2,012",male,85,ارمل,Undefined,Muslim,Employee,theft,1
"2,012",male,18,single,Undefined,Muslim,Employee,theft,1
"2,012",male,40,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,15,single,Undefined,Muslim,Employee,theft,1
"2,012",male,14,single,Undefined,Muslim,Employee,theft,1
"2,012",male,45,married,Undefined,Muslim,Employee,theft,1
"2,012",male,42,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,36,divorced,High school,Muslim,Employee,theft,1
"2,012",male,35,married,University,Muslim,Employee,theft,1
"2,012",male,18,single,Undefined,Muslim,Employee,theft,1
"2,012",male,15,single,Undefined,Muslim,Employee,theft,1
"2,012",female,60,divorced,redaing & writing,Muslim,Employee,theft,1
"2,012",female,24,married,High school,Muslim,Employee,theft,1
"2,012",male,24,married,Middle school,Muslim,Employee,theft,1
"2,012",male,26,married,Middle school,Muslim,Employee,theft,1
"2,012",male,54,married,Middle school,Muslim,Employee,theft,1
"2,012",male,38,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,30,divorced,diploma,Muslim,Employee,theft,1
"2,012",female,39,divorced,Middle school,Muslim,Employee,theft,1
"2,012",female,36,married,diploma,Muslim,Employee,theft,1
"2,012",male,57,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,68,married,Secondary literary,Muslim,Employee,theft,1
"2,012",male,77,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,25,single,Undefined,Muslim,Employee,theft,1
"2,012",male,26,married,High school,Muslim,Employee,theft,1
"2,012",male,37,divorced,High school,Muslim,Employee,theft,1
"2,012",male,71,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,14,single,Undefined,Muslim,Employee,theft,1
"2,012",male,47,single,High school,,Employee,theft,1
"2,012",male,12,single,High school,Muslim,Employee,theft,1
"2,012",male,59,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,49,single,redaing & writing,Hindu,Employee,theft,1
"2,012",male,37,married,Middle school,Muslim,Employee,theft,1
"2,012",male,48,married,Middle school,Muslim,Employee,theft,1
"2,012",male,39,married,Middle school,Hindu,Employee,theft,1
"2,012",male,42,single,Middle school,Hindu,Employee,theft,1
"2,012",male,15,,Middle school,,Employee,theft,1
"2,012",male,45,single,Middle school,Muslim,Employee,theft,1
"2,012",male,38,married,Middle school,Muslim,Employee,theft,1
"2,012",male,36,married,Middle school,Muslim,Employee,theft,1
"2,012",male,38,married,Middle school,Muslim,Employee,theft,1
"2,012",male,41,married,Middle school,Muslim,Employee,theft,1
"2,012",male,31,single,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,37,single,uneducated,Muslim,Employee,theft,1
"2,012",male,70,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,41,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,15,married,High school,Muslim,Employee,theft,1
"2,012",male,17,single,uneducated,Muslim,Employee,theft,1
"2,012",male,41,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,41,single,redaing & writing,Muslim,Employee,theft,1
"2,012",female,23,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,42,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,33,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,11,single,University,Muslim,Employee,theft,1
"2,012",male,112,,,,Employee,theft,1
"2,012",male,12,single,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,44,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,57,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,50,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,46,married,diploma,Muslim,Employee,theft,1
"2,012",male,68,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,50,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,37,single,0,Muslim,Employee,theft,1
"2,012",male,50,married,Middle school,Muslim,Employee,theft,1
"2,012",male,58,married,Middle school,Muslim,Employee,theft,1
"2,012",male,44,married,Middle school,Muslim,Employee,theft,1
"2,012",male,51,married,Middle school,Hindu,Employee,theft,1
"2,012",male,56,married,Third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,44,married,uneducated,Hindu,Employee,theft,1
"2,012",female,35,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,55,married,High school,Hindu,Employee,theft,1
"2,012",female,28,married,High school,Muslim,Employee,theft,1
"2,012",male,14,single,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,51,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",female,45,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,39,Undefined,redaing & writing,Muslim,Employee,theft,1
"2,012",male,47,married,الصف السادس الابتدائى,Muslim,Employee,theft,1
"2,012",male,28,single,High school,Muslim,Employee,theft,1
"2,012",male,49,married,High school,Muslim,Employee,theft,1
"2,012",male,33,married,uneducated,Muslim,Employee,theft,1
"2,012",male,34,single,الصف السادس الابتدائى,Muslim,Employee,theft,1
"2,012",male,50,married,,Muslim,Employee,theft,1
"2,012",male,46,married,شهاده Universityه Undefinedه,Undefined,Employee,theft,1
"2,012",male,36,Undefined,الصف الاول الثانوى,Muslim,Employee,theft,1
"2,012",male,53,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,43,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,53,married,uneducated,Muslim,Employee,theft,1
"2,012",male,42,married,0,Muslim,Employee,theft,1
"2,012",male,44,married,,Muslim,Employee,theft,1
"2,012",male,43,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,47,Undefined,0,Muslim,Employee,theft,1
"2,012",male,36,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,51,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,51,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,21,single,,Muslim,Employee,theft,1
"2,012",male,62,married,,Muslim,Employee,theft,1
"2,012",female,33,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,44,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,48,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,30,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,45,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,45,married,redaing & writing,سيخ,Employee,theft,1
"2,012",male,15,single,uneducated,Muslim,Employee,theft,1
"2,012",male,12,,الصف الثانى الاعدادى,Muslim,Employee,theft,1
"2,012",male,32,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,50,married,الصف السادس الابتدائى,Muslim,Employee,theft,1
"2,012",male,45,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,58,married,High school,Muslim,Employee,theft,1
"2,012",male,37,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,35,married,الصف الاول الثانوى,Muslim,Employee,theft,1
"2,012",male,38,single,بكالوريس هندسه مدنيه,Muslim,Employee,theft,1
"2,012",male,39,married,الصف الاول الاعدادى,Muslim,Employee,theft,1
"2,012",male,16,single,الصف الاول الاعدادى,Muslim,Employee,theft,1
"2,012",female,34,married,diploma,Hindu,Employee,theft,1
"2,012",male,36,single,شهادات Universityه,Muslim,Employee,theft,1
"2,012",male,38,single,الصف الثالث الثانوى,,Employee,theft,1
"2,012",male,36,married,الصف الثالث الثانوى,Hindu,Employee,theft,1
"2,012",male,52,married,شهاده Universityه Undefinedه,Muslim,Employee,theft,1
"2,012",male,54,married,High school,Muslim,Employee,theft,1
"2,012",male,49,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",female,26,single,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,44,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,39,married,0,Muslim,Employee,theft,1
"2,012",male,47,married,الصف السادس الابتدائى,Muslim,Employee,theft,1
"2,012",male,66,married,,Muslim,Employee,theft,1
"2,012",male,49,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",female,26,married,High school,Muslim,Employee,theft,1
"2,012",male,49,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,51,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,16,single,0,Muslim,Employee,theft,1
"2,012",male,54,married,الصف الثالث الثانوى,Undefined,Employee,theft,1
"2,012",male,16,single,الدراسات العليا,Muslim,Employee,theft,1
"2,012",male,22,single,شهادات Universityه,Muslim,Employee,theft,1
"2,012",female,40,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,43,married,redaing & writing,Muslim,Employee,theft,1
"2,012",female,66,married,University,Muslim,Employee,theft,1
"2,012",male,39,married,0,Muslim,Employee,theft,1
"2,012",male,36,single,الصف الاول الثانوى,Muslim,Employee,theft,1
"2,012",male,61,married,شهاده Universityه Undefinedه,Christian,Employee,theft,1
"2,012",male,43,married,uneducated,Muslim,Employee,theft,1
"2,012",male,34,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,31,,,,Employee,theft,1
"2,012",female,30,single,0,Muslim,Employee,theft,1
"2,012",male,38,married,الصف الثالث الثانوى,Muslim,Employee,theft,1
"2,012",male,33,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,34,married,High school,Muslim,Employee,theft,1
"2,012",male,73,married,High school,Muslim,Employee,theft,1
"2,012",male,34,married,Middle school,Muslim,Employee,theft,1
"2,012",male,14,single,Middle school,Muslim,Employee,theft,1
"2,012",male,9,single,Middle school,Muslim,Employee,theft,1
"2,012",female,30,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,53,divorced,redaing & writing,Muslim,Employee,theft,1
"2,012",male,42,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,29,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,41,divorced,redaing & writing,Muslim,Employee,theft,1
"2,012",male,16,,Middle school,,Employee,theft,1
"2,012",male,61,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,41,single,Middle school,Hindu,Employee,theft,1
"2,012",female,9,single,Middle school,Muslim,Employee,theft,1
"2,012",female,22,,redaing & writing,,Employee,theft,1
"2,012",male,42,single,0,,Employee,theft,1
"2,012",male,39,single,Middle school,Muslim,Employee,theft,1
"2,012",female,36,married,,Muslim,Employee,theft,1
"2,012",male,45,single,0,Undefined,Employee,theft,1
"2,012",male,32,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,36,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,8,single,,Muslim,Employee,theft,1
"2,012",female,53,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,33,single,0,Muslim,Employee,theft,1
"2,012",male,41,married,Middle school,Muslim,Employee,theft,1
"2,012",female,14,,0,,Employee,theft,1
"2,012",male,35,single,High school,Muslim,Employee,theft,1
"2,012",male,31,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,47,married,Middle school,Muslim,Employee,theft,1
"2,012",male,32,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,54,married,uneducated,Muslim,Employee,theft,1
"2,012",female,12,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,26,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,34,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,37,married,High school,Muslim,Employee,theft,1
"2,012",male,47,married,uneducated,بوذي,Employee,theft,1
"2,012",male,44,married,Middle school,Muslim,Employee,theft,1
"2,012",male,37,married,,Muslim,Employee,theft,1
"2,012",male,41,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,31,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,59,married,High school,Undefined,Employee,theft,1
"2,012",male,43,married,uneducated,Muslim,Employee,theft,1
"2,012",male,28,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,39,single,third Grade of middle school,Hindu,Employee,theft,1
"2,012",male,17,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,35,divorced,Middle school,Muslim,Employee,theft,1
"2,012",male,21,single,uneducated,Muslim,Employee,theft,1
"2,012",male,20,divorced,High school,Muslim,Employee,theft,1
"2,012",female,55,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,44,married,High school,Muslim,Employee,theft,1
"2,012",male,43,married,uneducated,Hindu,Employee,theft,1
"2,012",male,26,single,0,Muslim,Employee,theft,1
"2,012",male,17,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,18,single,University,Muslim,Employee,theft,1
"2,012",male,27,single,Middle school,Muslim,Employee,theft,1
"2,012",male,39,married,شهادات Universityه,Hindu,Employee,theft,1
"2,012",male,39,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,48,married,uneducated,Hindu,Employee,theft,1
"2,012",male,37,married,Middle school,Hindu,Employee,theft,1
"2,012",male,34,married,High school,Muslim,Employee,theft,1
"2,012",male,63,married,uneducated,Muslim,Employee,theft,1
"2,012",male,31,single,uneducated,Hindu,Employee,theft,1
"2,012",male,62,married,High school,Muslim,Employee,theft,1
"2,012",female,33,single,High school,Muslim,Employee,theft,1
"2,012",male,47,,,Muslim,Employee,theft,1
"2,012",female,27,married,0,Muslim,Employee,theft,1
"2,012",male,30,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,28,married,third Grade of middle school,Muslim,Employee,theft,1
"2,012",female,7,single,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,42,married,0,Muslim,Employee,theft,1
"2,012",male,43,married,High school,Muslim,Employee,theft,1
"2,012",male,29,married,High school,Muslim,Employee,theft,1
"2,012",male,48,single,Middle school,Hindu,Employee,theft,1
"2,012",male,41,married,0,بوذي,Employee,theft,1
"2,012",male,17,single,0,Muslim,Employee,theft,1
"2,012",female,32,single,0,Muslim,Employee,theft,1
"2,012",male,35,single,redaing & writing,Hindu,Employee,theft,1
"2,012",male,50,married,Undefined,Muslim,Employee,theft,1
"2,012",male,29,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,43,married,0,Muslim,Employee,theft,1
"2,012",male,34,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,36,married,High school,Muslim,Employee,theft,1
"2,012",male,16,single,Middle school,Muslim,Employee,theft,1
"2,012",female,32,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,31,single,0,Muslim,Employee,theft,1
"2,012",male,26,single,uneducated,Muslim,Employee,theft,1
"2,012",male,32,single,High school,Muslim,Employee,theft,1
"2,012",male,43,divorced,third Grade of middle school,Muslim,Employee,theft,1
"2,012",male,30,single,High school,Muslim,Employee,theft,1
"2,012",male,38,married,Middle school,Muslim,Employee,theft,1
"2,012",female,54,married,redaing & writing,Christian,Employee,theft,1
"2,012",male,28,married,High school,Muslim,Employee,theft,1
"2,012",male,38,married,0,Muslim,Employee,theft,1
"2,012",male,35,married,University,Muslim,Employee,theft,1
"2,012",male,30,single,High school,Muslim,Employee,theft,1
"2,012",male,29,single,High school,Muslim,Employee,theft,1
"2,012",male,42,married,Middle school,Hindu,Employee,theft,1
"2,012",male,27,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,26,single,,Muslim,Employee,theft,1
"2,012",male,32,single,redaing & writing,Muslim,Employee,theft,1
"2,012",female,30,single,uneducated,Muslim,Employee,theft,1
"2,012",male,28,married,Middle school,Muslim,Employee,theft,1
"2,012",male,31,married,redaing & writing,Muslim,Employee,theft,1
"2,012",male,32,single,0,Muslim,Employee,theft,1
"2,012",male,52,married,uneducated,Hindu,Employee,theft,1
"2,012",male,32,married,Middle school,Hindu,Employee,theft,1
"2,012",male,35,single,redaing & writing,Hindu,Employee,theft,1
"2,012",female,24,single,redaing & writing,Christian,Employee,theft,1
"2,012",female,27,divorced,redaing & writing,Muslim,Employee,theft,1
"2,012",male,28,married,Undefined,Muslim,Employee,theft,1
"2,012",male,36,single,,Muslim,Employee,theft,1
"2,012",male,32,single,Undefined,Muslim,Employee,theft,1
"2,012",male,35,married,redaing & writing,Christian,Employee,theft,1
"2,012",male,36,married,0,Muslim,Employee,theft,1
"2,012",male,30,single,Middle school,Muslim,Employee,theft,1
"2,012",male,31,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,18,single,Middle school,Muslim,Employee,theft,1
"2,012",male,40,married,Middle school,Christian,Employee,theft,1
"2,012",male,28,married,,Muslim,Employee,theft,1
"2,012",male,42,married,Middle school,Hindu,Employee,theft,1
"2,012",male,26,single,redaing & writing,Muslim,Employee,theft,1
"2,012",male,34,single,Middle school,Muslim,Employee,theft,1
"2,012",male,40,married,High school,Muslim,Employee,theft,1
